parent_id,action,child_id
0,5,1
0,13,2
0,17,3
0,20,4
0,10,5
0,6,6
0,2,7
0,8,8
0,12,9
0,4,10
0,16,11
0,11,12
0,14,13
0,19,14
0,18,15
0,21,16
0,3,17
0,15,18
0,1,19
0,22,20
0,7,21
0,9,22
1,4,23
1,12,46
1,19,71
1,3,96
1,2,115
1,22,135
1,5,158
1,13,180
1,18,202
1,1,224
1,16,246
2,18,27
2,1,60
2,20,82
2,4,106
2,8,126
2,9,138
2,6,162
2,21,186
2,11,204
2,10,225
2,7,248
3,19,25
3,12,50
3,4,72
3,5,91
3,13,116
3,3,137
3,18,159
3,22,183
3,2,205
3,16,228
3,1,247
4,2,33
4,13,57
4,14,80
4,16,103
4,15,128
4,6,148
4,17,168
4,3,188
4,9,210
4,12,236
4,8,256
5,12,40
5,3,58
5,16,83
5,2,101
5,13,125
6,9,41
6,8,62
6,6,74
7,3,29
7,12,52
7,2,76
7,13,92
7,16,113
8,3,44
8,13,65
8,2,87
8,16,105
8,12,124
9,8,26
9,9,51
9,6,68
10,2,37
10,13,56
10,3,75
10,16,97
10,12,120
11,2,24
11,12,45
11,16,67
11,13,89
11,3,111
12,22,30
12,19,48
12,12,69
12,4,94
12,16,121
12,18,143
12,13,164
12,2,185
12,1,209
12,3,235
12,5,260
13,12,28
13,17,55
13,14,78
13,15,107
13,8,129
13,9,151
13,13,174
13,16,194
13,3,211
13,2,230
13,6,254
14,9,38
14,8,63
14,21,81
14,7,104
14,20,122
14,11,139
14,6,163
14,4,187
14,18,212
14,10,233
14,1,255
15,9,31
15,6,49
15,8,70
16,21,34
16,20,47
16,7,77
16,9,90
16,10,112
16,8,133
16,1,155
16,4,177
16,11,200
16,18,221
16,6,244
17,18,36
17,1,61
17,4,86
18,11,32
18,18,54
18,20,73
18,1,95
18,4,114
18,7,142
18,21,161
18,9,181
18,6,201
18,8,222
18,10,243
19,18,42
19,1,66
19,4,88
20,6,39
20,12,53
20,13,84
20,15,99
20,17,123
20,8,146
20,2,169
20,9,190
20,14,215
20,16,232
20,3,252
21,11,43
21,1,59
21,7,79
21,9,98
21,18,118
21,4,140
21,8,160
21,20,182
21,21,206
21,6,226
21,10,251
22,18,35
22,4,64
22,1,85
23,13,344
23,12,541
23,16,759
23,3,999
24,12,134
24,3,249
24,2,381
24,13,516
24,16,580
25,9,466
25,1,729
25,18,974
26,16,119
26,3,191
26,12,253
26,13,317
26,2,409
27,6,494
27,9,734
27,8,884
28,8,452
28,6,628
28,9,873
29,1,178
29,18,267
29,4,399
30,6,284
30,13,526
30,12,768
31,1,100
31,4,197
31,18,242
32,18,443
32,16,692
32,19,933
33,12,394
33,3,703
33,13,966
34,20,266
34,1,509
34,10,753
35,8,154
35,6,198
35,9,262
36,6,130
36,9,217
36,8,283
37,13,145
37,16,281
37,12,389
37,3,520
37,2,634
38,4,473
38,1,685
38,18,948
39,9,331
39,8,581
39,6,846
40,8,165
40,9,269
40,6,377
41,4,117
41,1,189
41,18,279
42,8,152
42,6,218
42,9,280
43,18,405
43,4,602
43,1,798
44,4,193
44,1,300
44,18,414
45,8,179
